timestamp,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
26.027525,-0.260746,0.945577,-0.194670,-0.281037,-0.726818,-0.059555,0.684243,-0.285468,0.635411,0.319904,0.702791,-0.190382,0.000000,0.000000,0.000000,1.000000
26.044199,-0.256102,0.947672,-0.190603,-0.282452,-0.727866,-0.059301,0.683150,-0.285055,0.636099,0.313690,0.704966,-0.191484,0.000000,0.000000,0.000000,1.000000
26.060872,-0.251236,0.949796,-0.186462,-0.283933,-0.728964,-0.058932,0.682010,-0.284634,0.636782,0.307270,0.707173,-0.192611,0.000000,0.000000,0.000000,1.000000
26.077546,-0.246554,0.951821,-0.182339,-0.285958,-0.730018,-0.058659,0.680906,-0.284248,0.637405,0.300991,0.709309,-0.193798,0.000000,0.000000,0.000000,1.000000
26.094219,-0.241788,0.953829,-0.178180,-0.287665,-0.731095,-0.058341,0.679777,-0.283820,0.637996,0.294629,0.711446,-0.194941,0.000000,0.000000,0.000000,1.000000
26.110893,-0.236808,0.955889,-0.173774,-0.289299,-0.732298,-0.058070,0.678504,-0.283378,0.638484,0.287930,0.713747,-0.196072,0.000000,0.000000,0.000000,1.000000
26.127566,-0.231739,0.957949,-0.169208,-0.290902,-0.733526,-0.057831,0.677197,-0.282933,0.638934,0.281051,0.716082,-0.197188,0.000000,0.000000,0.000000,1.000000
26.144240,-0.226707,0.959996,-0.164353,-0.292453,-0.734839,-0.057842,0.675770,-0.282494,0.639230,0.273975,0.718556,-0.198271,0.000000,0.000000,0.000000,1.000000
26.160914,-0.221980,0.961989,-0.159064,-0.293927,-0.736278,-0.058426,0.674152,-0.282078,0.639234,0.266764,0.721261,-0.199297,0.000000,0.000000,0.000000,1.000000
26.177587,-0.217549,0.963759,-0.154407,-0.295768,-0.737717,-0.058773,0.672547,-0.281877,0.639098,0.260221,0.723768,-0.200198,0.000000,0.000000,0.000000,1.000000
26.194261,-0.213318,0.965309,-0.150578,-0.297285,-0.738934,-0.058588,0.671225,-0.281517,0.639118,0.254452,0.725798,-0.201021,0.000000,0.000000,0.000000,1.000000
26.210934,-0.209321,0.966773,-0.146746,-0.298633,-0.740092,-0.058550,0.669952,-0.281131,0.639100,0.248841,0.727757,-0.201785,0.000000,0.000000,0.000000,1.000000
26.227608,-0.205570,0.968157,-0.142878,-0.299852,-0.741174,-0.058683,0.668743,-0.280758,0.639064,0.243371,0.729636,-0.202496,0.000000,0.000000,0.000000,1.000000
26.244282,-0.202113,0.969393,-0.139386,-0.300959,-0.742012,-0.058683,0.667813,-0.280413,0.639194,0.238399,0.731161,-0.203146,0.000000,0.000000,0.000000,1.000000
26.260955,-0.199006,0.970470,-0.136327,-0.301970,-0.742661,-0.058580,0.667101,-0.280105,0.639415,0.234002,0.732387,-0.203711,0.000000,0.000000,0.000000,1.000000
26.277629,-0.196020,0.971469,-0.133507,-0.303261,-0.743382,-0.058428,0.666310,-0.280384,0.639499,0.229857,0.733626,-0.204446,0.000000,0.000000,0.000000,1.000000
26.294302,-0.193729,0.972270,-0.130998,-0.304183,-0.743909,-0.058533,0.665713,-0.280327,0.639584,0.226418,0.734620,-0.204856,0.000000,0.000000,0.000000,1.000000
26.310976,-0.191826,0.972954,-0.128702,-0.304947,-0.744601,-0.058851,0.664910,-0.280207,0.639353,0.223379,0.735752,-0.205078,0.000000,0.000000,0.000000,1.000000
26.327649,-0.189999,0.973664,-0.126008,-0.305635,-0.745525,-0.059573,0.663810,-0.280111,0.638822,0.220065,0.737210,-0.205196,0.000000,0.000000,0.000000,1.000000
26.344323,-0.188284,0.974380,-0.123016,-0.306279,-0.746311,-0.060529,0.662840,-0.280084,0.638412,0.216611,0.738587,-0.205268,0.000000,0.000000,0.000000,1.000000
26.360996,-0.186727,0.974990,-0.120532,-0.306910,-0.746625,-0.061099,0.662433,-0.280127,0.638501,0.213687,0.739361,-0.205316,0.000000,0.000000,0.000000,1.000000
26.377670,-0.184954,0.975542,-0.118783,-0.308578,-0.746666,-0.060906,0.662405,-0.280553,0.638969,0.211206,0.739669,-0.205389,0.000000,0.000000,0.000000,1.000000
26.394344,-0.182806,0.976240,-0.116351,-0.309578,-0.746521,-0.060823,0.662576,-0.280781,0.639756,0.207981,0.739903,-0.205488,0.000000,0.000000,0.000000,1.000000
26.411017,-0.180580,0.977002,-0.113392,-0.310394,-0.746335,-0.061024,0.662767,-0.280976,0.640606,0.204310,0.740190,-0.205621,0.000000,0.000000,0.000000,1.000000
26.427691,-0.178287,0.977760,-0.110446,-0.311178,-0.746194,-0.061182,0.662911,-0.281147,0.641410,0.200603,0.740507,-0.205780,0.000000,0.000000,0.000000,1.000000
26.444364,-0.175552,0.978608,-0.107276,-0.312010,-0.746190,-0.061189,0.662914,-0.281286,0.642169,0.196424,0.740970,-0.206004,0.000000,0.000000,0.000000,1.000000
26.461038,-0.172408,0.979564,-0.103583,-0.312895,-0.746185,-0.061233,0.662917,-0.281409,0.643027,0.191584,0.741493,-0.206337,0.000000,0.000000,0.000000,1.000000
26.477711,-0.168822,0.980634,-0.099276,-0.314492,-0.746173,-0.061347,0.662919,-0.281147,0.643991,0.185992,0.742080,-0.207265,0.000000,0.000000,0.000000,1.000000
26.494385,-0.164854,0.981807,-0.094224,-0.315744,-0.746551,-0.061777,0.662454,-0.281060,0.644581,0.179551,0.743153,-0.207968,0.000000,0.000000,0.000000,1.000000
26.511059,-0.160577,0.983009,-0.088935,-0.316947,-0.747222,-0.062199,0.661657,-0.280973,0.644883,0.172701,0.744514,-0.208628,0.000000,0.000000,0.000000,1.000000
26.527732,-0.156189,0.984183,-0.083594,-0.318181,-0.747950,-0.062572,0.660800,-0.280852,0.645117,0.165734,0.745893,-0.209305,0.000000,0.000000,0.000000,1.000000
