timestamp,m00,m01,m02,m10,m11,m12,m20,m21,m22
1.500632,1328.682007,0.000000,966.395691,0.000000,1328.682007,719.480957,0.000000,0.000000,1.000000
1.517306,1328.658203,0.000000,966.407898,0.000000,1328.658203,719.524353,0.000000,0.000000,1.000000
1.533979,1328.675903,0.000000,966.361023,0.000000,1328.675903,719.489563,0.000000,0.000000,1.000000
1.550653,1328.678955,0.000000,966.380493,0.000000,1328.678955,719.540039,0.000000,0.000000,1.000000
1.567327,1328.652100,0.000000,966.359863,0.000000,1328.652100,719.524597,0.000000,0.000000,1.000000
1.584000,1328.646240,0.000000,966.382751,0.000000,1328.646240,719.488831,0.000000,0.000000,1.000000
1.600674,1328.675903,0.000000,966.330139,0.000000,1328.675903,719.488159,0.000000,0.000000,1.000000
1.617348,1328.670044,0.000000,966.312744,0.000000,1328.670044,719.478638,0.000000,0.000000,1.000000
1.634021,1328.658203,0.000000,966.310425,0.000000,1328.658203,719.478516,0.000000,0.000000,1.000000
1.650695,1328.649170,0.000000,966.309021,0.000000,1328.649170,719.443237,0.000000,0.000000,1.000000
1.667369,1328.670044,0.000000,966.314392,0.000000,1328.670044,719.458740,0.000000,0.000000,1.000000
1.684042,1328.690918,0.000000,966.327087,0.000000,1328.690918,719.431580,0.000000,0.000000,1.000000
1.700716,1328.670044,0.000000,966.321106,0.000000,1328.670044,719.466187,0.000000,0.000000,1.000000
1.717390,1328.655151,0.000000,966.335938,0.000000,1328.655151,719.466492,0.000000,0.000000,1.000000
1.734064,1328.675903,0.000000,966.305847,0.000000,1328.675903,719.403992,0.000000,0.000000,1.000000
1.750737,1328.646240,0.000000,966.329224,0.000000,1328.646240,719.441284,0.000000,0.000000,1.000000
1.767411,1328.545044,0.000000,966.362122,0.000000,1328.545044,719.441589,0.000000,0.000000,1.000000
1.784085,1328.113159,0.000000,966.349915,0.000000,1328.113159,719.455017,0.000000,0.000000,1.000000
1.800758,1328.098267,0.000000,966.315979,0.000000,1328.098267,719.468811,0.000000,0.000000,1.000000
1.817432,1328.125000,0.000000,966.322571,0.000000,1328.125000,719.519348,0.000000,0.000000,1.000000
1.834106,1328.113159,0.000000,966.354614,0.000000,1328.113159,719.510559,0.000000,0.000000,1.000000
1.850779,1328.101318,0.000000,966.308228,0.000000,1328.101318,719.492493,0.000000,0.000000,1.000000
1.867453,1328.116211,0.000000,966.288391,0.000000,1328.116211,719.509460,0.000000,0.000000,1.000000
1.884127,1328.110229,0.000000,966.271240,0.000000,1328.110229,719.490295,0.000000,0.000000,1.000000
1.900800,1328.089355,0.000000,966.295776,0.000000,1328.089355,719.512268,0.000000,0.000000,1.000000
1.917474,1328.128052,0.000000,966.250916,0.000000,1328.128052,719.556885,0.000000,0.000000,1.000000
1.934148,1328.131104,0.000000,966.275757,0.000000,1328.131104,719.528137,0.000000,0.000000,1.000000
1.950821,1328.095337,0.000000,966.285828,0.000000,1328.095337,719.519897,0.000000,0.000000,1.000000
1.967495,1328.083374,0.000000,966.283997,0.000000,1328.083374,719.524719,0.000000,0.000000,1.000000
1.984169,1328.128052,0.000000,966.290466,0.000000,1328.128052,719.473999,0.000000,0.000000,1.000000
2.000843,1328.107178,0.000000,966.270386,0.000000,1328.107178,719.523560,0.000000,0.000000,1.000000
2.017516,1328.110229,0.000000,966.241943,0.000000,1328.110229,719.474426,0.000000,0.000000,1.000000
2.034190,1328.098267,0.000000,966.288147,0.000000,1328.098267,719.513733,0.000000,0.000000,1.000000
2.050864,1328.110229,0.000000,966.267212,0.000000,1328.110229,719.497131,0.000000,0.000000,1.000000
2.067537,1328.125000,0.000000,966.308777,0.000000,1328.125000,719.490906,0.000000,0.000000,1.000000
2.084211,1328.077515,0.000000,966.270996,0.000000,1328.077515,719.499451,0.000000,0.000000,1.000000
2.100885,1328.092285,0.000000,966.280579,0.000000,1328.092285,719.514648,0.000000,0.000000,1.000000
2.117558,1328.119141,0.000000,966.296936,0.000000,1328.119141,719.533264,0.000000,0.000000,1.000000
2.134232,1328.110229,0.000000,966.288940,0.000000,1328.110229,719.482422,0.000000,0.000000,1.000000
2.150906,1328.113159,0.000000,966.294250,0.000000,1328.113159,719.509949,0.000000,0.000000,1.000000
2.167579,1328.104248,0.000000,966.307983,0.000000,1328.104248,719.536316,0.000000,0.000000,1.000000
2.184253,1328.092285,0.000000,966.278259,0.000000,1328.092285,719.492065,0.000000,0.000000,1.000000
2.200927,1328.092285,0.000000,966.279785,0.000000,1328.092285,719.503845,0.000000,0.000000,1.000000
2.217600,1328.116211,0.000000,966.261963,0.000000,1328.116211,719.506348,0.000000,0.000000,1.000000
2.234274,1328.116211,0.000000,966.299438,0.000000,1328.116211,719.519287,0.000000,0.000000,1.000000
2.250948,1328.128052,0.000000,966.313538,0.000000,1328.128052,719.495667,0.000000,0.000000,1.000000
2.267621,1328.110229,0.000000,966.268677,0.000000,1328.110229,719.505981,0.000000,0.000000,1.000000
2.284295,1328.098267,0.000000,966.258789,0.000000,1328.098267,719.504883,0.000000,0.000000,1.000000
2.300969,1328.113159,0.000000,966.267151,0.000000,1328.113159,719.488586,0.000000,0.000000,1.000000
2.317642,1328.092285,0.000000,966.253174,0.000000,1328.092285,719.474243,0.000000,0.000000,1.000000
2.334316,1328.092285,0.000000,966.257751,0.000000,1328.092285,719.479553,0.000000,0.000000,1.000000
2.350990,1328.119141,0.000000,966.230957,0.000000,1328.119141,719.502258,0.000000,0.000000,1.000000
2.367664,1328.101318,0.000000,966.311035,0.000000,1328.101318,719.492859,0.000000,0.000000,1.000000
2.384337,1328.119141,0.000000,966.281311,0.000000,1328.119141,719.487305,0.000000,0.000000,1.000000
2.401011,1328.104248,0.000000,966.277832,0.000000,1328.104248,719.490540,0.000000,0.000000,1.000000
2.417685,1328.116211,0.000000,966.269104,0.000000,1328.116211,719.495361,0.000000,0.000000,1.000000
2.434358,1328.104248,0.000000,966.298035,0.000000,1328.104248,719.509338,0.000000,0.000000,1.000000
2.451032,1328.131104,0.000000,966.305664,0.000000,1328.131104,719.522034,0.000000,0.000000,1.000000
2.467706,1328.128052,0.000000,966.263733,0.000000,1328.128052,719.484375,0.000000,0.000000,1.000000
2.484379,1328.089355,0.000000,966.287781,0.000000,1328.089355,719.510437,0.000000,0.000000,1.000000
2.501053,1328.110229,0.000000,966.300354,0.000000,1328.110229,719.509583,0.000000,0.000000,1.000000
2.517727,1328.116211,0.000000,966.305420,0.000000,1328.116211,719.512024,0.000000,0.000000,1.000000
2.534400,1328.119141,0.000000,966.280640,0.000000,1328.119141,719.507874,0.000000,0.000000,1.000000
2.551074,1328.110229,0.000000,966.277710,0.000000,1328.110229,719.528381,0.000000,0.000000,1.000000
2.567748,1328.098267,0.000000,966.295593,0.000000,1328.098267,719.509277,0.000000,0.000000,1.000000
2.584421,1328.107178,0.000000,966.271240,0.000000,1328.107178,719.503540,0.000000,0.000000,1.000000
2.601095,1328.110229,0.000000,966.284668,0.000000,1328.110229,719.488647,0.000000,0.000000,1.000000
2.617769,1328.116211,0.000000,966.286560,0.000000,1328.116211,719.524597,0.000000,0.000000,1.000000
2.634442,1328.134033,0.000000,966.283142,0.000000,1328.134033,719.528625,0.000000,0.000000,1.000000
2.651116,1328.101318,0.000000,966.276306,0.000000,1328.101318,719.509888,0.000000,0.000000,1.000000
2.667790,1328.104248,0.000000,966.271729,0.000000,1328.104248,719.505981,0.000000,0.000000,1.000000
2.684464,1328.113159,0.000000,966.270935,0.000000,1328.113159,719.495667,0.000000,0.000000,1.000000
2.701137,1328.104248,0.000000,966.273987,0.000000,1328.104248,719.496948,0.000000,0.000000,1.000000
2.717811,1328.101318,0.000000,966.285828,0.000000,1328.101318,719.517273,0.000000,0.000000,1.000000
2.734485,1328.143066,0.000000,966.266113,0.000000,1328.143066,719.491028,0.000000,0.000000,1.000000
2.751158,1328.104248,0.000000,966.256226,0.000000,1328.104248,719.504700,0.000000,0.000000,1.000000
2.767832,1328.098267,0.000000,966.276794,0.000000,1328.098267,719.518066,0.000000,0.000000,1.000000
2.784506,1328.107178,0.000000,966.281006,0.000000,1328.107178,719.514099,0.000000,0.000000,1.000000
2.801179,1328.104248,0.000000,966.275757,0.000000,1328.104248,719.527649,0.000000,0.000000,1.000000
2.817853,1328.110229,0.000000,966.253296,0.000000,1328.110229,719.503235,0.000000,0.000000,1.000000
2.834527,1328.125000,0.000000,966.290649,0.000000,1328.125000,719.513123,0.000000,0.000000,1.000000
2.851200,1328.110229,0.000000,966.265503,0.000000,1328.110229,719.497192,0.000000,0.000000,1.000000
2.867874,1328.089355,0.000000,966.242249,0.000000,1328.089355,719.510132,0.000000,0.000000,1.000000
2.884548,1328.092285,0.000000,966.244873,0.000000,1328.092285,719.523926,0.000000,0.000000,1.000000
2.901221,1328.110229,0.000000,966.208679,0.000000,1328.110229,719.519409,0.000000,0.000000,1.000000
2.917895,1328.122070,0.000000,966.201416,0.000000,1328.122070,719.511536,0.000000,0.000000,1.000000
2.934569,1328.131104,0.000000,966.207520,0.000000,1328.131104,719.505554,0.000000,0.000000,1.000000
2.951242,1328.101318,0.000000,966.201050,0.000000,1328.101318,719.494751,0.000000,0.000000,1.000000
2.967916,1328.089355,0.000000,966.240295,0.000000,1328.089355,719.512512,0.000000,0.000000,1.000000
2.984590,1328.113159,0.000000,966.245667,0.000000,1328.113159,719.549988,0.000000,0.000000,1.000000
3.001264,1328.140015,0.000000,966.196472,0.000000,1328.140015,719.515686,0.000000,0.000000,1.000000
3.017937,1328.113159,0.000000,966.204102,0.000000,1328.113159,719.534912,0.000000,0.000000,1.000000
3.034611,1328.184692,0.000000,966.225098,0.000000,1328.184692,719.526245,0.000000,0.000000,1.000000
3.051285,1328.687866,0.000000,966.237244,0.000000,1328.687866,719.530945,0.000000,0.000000,1.000000
3.067958,1328.675903,0.000000,966.266479,0.000000,1328.675903,719.484131,0.000000,0.000000,1.000000
3.084632,1328.637207,0.000000,966.254700,0.000000,1328.637207,719.506104,0.000000,0.000000,1.000000
3.101306,1328.670044,0.000000,966.229004,0.000000,1328.670044,719.524109,0.000000,0.000000,1.000000
3.117979,1328.655151,0.000000,966.234619,0.000000,1328.655151,719.539124,0.000000,0.000000,1.000000
3.134653,1328.658203,0.000000,966.250916,0.000000,1328.658203,719.495850,0.000000,0.000000,1.000000
3.151327,1328.667114,0.000000,966.243530,0.000000,1328.667114,719.507385,0.000000,0.000000,1.000000
3.168000,1328.646240,0.000000,966.266785,0.000000,1328.646240,719.472534,0.000000,0.000000,1.000000
3.184674,1328.640259,0.000000,966.231262,0.000000,1328.640259,719.523560,0.000000,0.000000,1.000000
3.201348,1328.646240,0.000000,966.223511,0.000000,1328.646240,719.526672,0.000000,0.000000,1.000000
3.218021,1328.658203,0.000000,966.220093,0.000000,1328.658203,719.512146,0.000000,0.000000,1.000000
3.234695,1328.667114,0.000000,966.195679,0.000000,1328.667114,719.500610,0.000000,0.000000,1.000000
3.251369,1328.655151,0.000000,966.263000,0.000000,1328.655151,719.478088,0.000000,0.000000,1.000000
3.268042,1328.643311,0.000000,966.255798,0.000000,1328.643311,719.500854,0.000000,0.000000,1.000000
3.284716,1328.673096,0.000000,966.315247,0.000000,1328.673096,719.488342,0.000000,0.000000,1.000000
3.301390,1328.670044,0.000000,966.275208,0.000000,1328.670044,719.520386,0.000000,0.000000,1.000000
3.318064,1328.667114,0.000000,966.276733,0.000000,1328.667114,719.522705,0.000000,0.000000,1.000000
3.334737,1328.687866,0.000000,966.257019,0.000000,1328.687866,719.529175,0.000000,0.000000,1.000000
3.351411,1328.658203,0.000000,966.306946,0.000000,1328.658203,719.493591,0.000000,0.000000,1.000000
3.368085,1328.673096,0.000000,966.291748,0.000000,1328.673096,719.533081,0.000000,0.000000,1.000000
3.384758,1328.696899,0.000000,966.276123,0.000000,1328.696899,719.480774,0.000000,0.000000,1.000000
3.401432,1328.667114,0.000000,966.267456,0.000000,1328.667114,719.433228,0.000000,0.000000,1.000000
3.418106,1328.649170,0.000000,966.292969,0.000000,1328.649170,719.457703,0.000000,0.000000,1.000000
3.434779,1328.655151,0.000000,966.294128,0.000000,1328.655151,719.462280,0.000000,0.000000,1.000000
3.451453,1328.684937,0.000000,966.242676,0.000000,1328.684937,719.457275,0.000000,0.000000,1.000000
3.468127,1328.673096,0.000000,966.218628,0.000000,1328.673096,719.460571,0.000000,0.000000,1.000000
3.484800,1328.667114,0.000000,966.232361,0.000000,1328.667114,719.465271,0.000000,0.000000,1.000000
3.501474,1328.640259,0.000000,966.228577,0.000000,1328.640259,719.451782,0.000000,0.000000,1.000000
3.518148,1328.646240,0.000000,966.217896,0.000000,1328.646240,719.455444,0.000000,0.000000,1.000000
3.534821,1328.711792,0.000000,966.290344,0.000000,1328.711792,719.445435,0.000000,0.000000,1.000000
3.551495,1328.667114,0.000000,966.253357,0.000000,1328.667114,719.432068,0.000000,0.000000,1.000000
3.568169,1328.675903,0.000000,966.284241,0.000000,1328.675903,719.408630,0.000000,0.000000,1.000000
3.584842,1328.693848,0.000000,966.281189,0.000000,1328.693848,719.409851,0.000000,0.000000,1.000000
3.601516,1328.640259,0.000000,966.285339,0.000000,1328.640259,719.438660,0.000000,0.000000,1.000000
